scheduler,warnup,prune_mlp,lr,weight_decay,mpp_lr,mpp_weight_decay,prune_step,prune_rate,prune_type,imp_type,isomorphic,mpp_scheduler,values
True,0.1,True,0.003204506788719069,1.4348067765144677e-05,2.4710083388554795e-05,0.9484171092081243,3,0.9,base,group,False,False,"[0.7994668605355629, 0.9]"
True,0.1,True,0.0030054575707038106,2.294299732515376e-05,0.001077063044947303,0.0006819051738293781,2,0.6,bnscale,group,True,False,"[0.9283896764812796, 0.6]"
True,0.2,False,0.0044288035696732715,6.064019130896689e-05,0.0018615381018704566,3.173587957652844e-05,3,0.5,base,group,False,False,"[0.9304495335029687, 0.5]"
False,,True,0.0044288035696732715,6.064019130896689e-05,1.8239031047612367e-05,6.844359523711286e-05,2,0.7,base,fpgm,True,False,"[0.9247546346782989, 0.7]"
True,0.5,False,0.001366153918427811,0.00029977772545494296,0.0006928237660207446,3.734141845927017e-05,3,0.8,base,lamp,False,False,"[0.8544771598206714, 0.8]"
