number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
89,0.7606666666666667,2025-05-22 04:51:27.874405,2025-05-22 04:52:10.765702,0 days 00:00:42.891297,0.9,2.114715483799633e-06,COMPLETE
5,0.7583333333333333,2025-05-22 03:52:57.900811,2025-05-22 03:53:38.744319,0 days 00:00:40.843508,0.85,0.0003081899388338884,COMPLETE
68,0.7576666666666667,2025-05-22 04:36:33.487926,2025-05-22 04:37:17.579102,0 days 00:00:44.091176,0.9,0.02492514990591518,COMPLETE
77,0.7573333333333334,2025-05-22 04:42:58.587937,2025-05-22 04:43:38.950340,0 days 00:00:40.362403,0.85,2.803362309648588e-06,COMPLETE
91,0.757,2025-05-22 04:52:53.391523,2025-05-22 04:53:36.676721,0 days 00:00:43.285198,0.9,2.6631366224096815e-06,COMPLETE
97,0.7566666666666667,2025-05-22 04:57:05.636546,2025-05-22 04:57:48.724908,0 days 00:00:43.088362,0.85,1.4443988224098907e-06,COMPLETE
53,0.7559999999999999,2025-05-22 04:26:24.069069,2025-05-22 04:27:07.405760,0 days 00:00:43.336691,0.85,0.0005858917965614204,COMPLETE
14,0.7559999999999999,2025-05-22 03:59:09.864992,2025-05-22 03:59:52.736780,0 days 00:00:42.871788,0.8,2.1282480804819458e-05,COMPLETE
76,0.7556666666666666,2025-05-22 04:42:15.019134,2025-05-22 04:42:58.548927,0 days 00:00:43.529793,0.85,1.3933694870032069e-05,COMPLETE
84,0.7556666666666666,2025-05-22 04:47:52.846735,2025-05-22 04:48:35.883520,0 days 00:00:43.036785,0.85,1.7189527601569634e-06,COMPLETE
11,0.7556666666666666,2025-05-22 03:57:06.328343,2025-05-22 03:57:46.399577,0 days 00:00:40.071234,0.9,0.006242403170903356,COMPLETE
81,0.7553333333333333,2025-05-22 04:45:43.842217,2025-05-22 04:46:28.909533,0 days 00:00:45.067316,0.85,2.2507889806539485e-05,COMPLETE
12,0.7553333333333333,2025-05-22 03:57:46.439117,2025-05-22 03:58:30.126177,0 days 00:00:43.687060,0.9,0.0057717477159639876,COMPLETE
74,0.755,2025-05-22 04:40:49.456200,2025-05-22 04:41:30.937438,0 days 00:00:41.481238,0.85,0.003111828994036232,COMPLETE
4,0.7549999999999999,2025-05-22 03:52:16.169456,2025-05-22 03:52:57.863014,0 days 00:00:41.693558,0.85,0.00038982553494287423,COMPLETE
66,0.7549999999999999,2025-05-22 04:35:08.090120,2025-05-22 04:35:49.809070,0 days 00:00:41.718950,0.9,0.005235194445894266,COMPLETE
59,0.7546666666666667,2025-05-22 04:30:34.453257,2025-05-22 04:31:15.832584,0 days 00:00:41.379327,0.65,0.0018290955908179434,COMPLETE
82,0.7546666666666667,2025-05-22 04:46:28.950347,2025-05-22 04:47:12.483873,0 days 00:00:43.533526,0.9,2.2794431218531903e-05,COMPLETE
48,0.7543333333333333,2025-05-22 04:22:54.431957,2025-05-22 04:23:36.955966,0 days 00:00:42.524009,0.9,5.495309520641852e-05,COMPLETE
24,0.7543333333333333,2025-05-22 04:06:06.847140,2025-05-22 04:06:49.151646,0 days 00:00:42.304506,0.85,0.0005796695222496446,COMPLETE
43,0.754,2025-05-22 04:19:25.825767,2025-05-22 04:20:06.973099,0 days 00:00:41.147332,0.85,0.0002757515565574641,COMPLETE
67,0.754,2025-05-22 04:35:49.852903,2025-05-22 04:36:33.447269,0 days 00:00:43.594366,0.9,0.004088728912528024,COMPLETE
87,0.754,2025-05-22 04:50:00.909564,2025-05-22 04:50:44.125759,0 days 00:00:43.216195,0.85,8.860206929749128e-06,COMPLETE
94,0.754,2025-05-22 04:55:01.426905,2025-05-22 04:55:44.715565,0 days 00:00:43.288660,0.85,3.049695819779239e-06,COMPLETE
71,0.754,2025-05-22 04:38:43.872963,2025-05-22 04:39:26.211028,0 days 00:00:42.338065,0.9,0.012798209035928421,COMPLETE
80,0.754,2025-05-22 04:45:01.025955,2025-05-22 04:45:43.800812,0 days 00:00:42.774857,0.85,9.329257792622507e-06,COMPLETE
93,0.7536666666666667,2025-05-22 04:54:18.893616,2025-05-22 04:55:01.382716,0 days 00:00:42.489100,0.9,3.829651472091988e-06,COMPLETE
90,0.7536666666666667,2025-05-22 04:52:10.807035,2025-05-22 04:52:53.353269,0 days 00:00:42.546234,0.85,1.1818252658992831e-06,COMPLETE
25,0.7533333333333333,2025-05-22 04:06:49.190843,2025-05-22 04:07:33.007831,0 days 00:00:43.816988,0.7000000000000001,0.0001303709007254368,COMPLETE
51,0.7533333333333333,2025-05-22 04:24:56.759561,2025-05-22 04:25:40.194559,0 days 00:00:43.434998,0.85,0.0005323420186620686,COMPLETE
60,0.7530000000000001,2025-05-22 04:31:15.874175,2025-05-22 04:31:54.240261,0 days 00:00:38.366086,0.75,2.93671787290274e-06,COMPLETE
56,0.753,2025-05-22 04:28:31.033215,2025-05-22 04:29:11.559646,0 days 00:00:40.526431,0.8,0.0001039840856033685,COMPLETE
95,0.753,2025-05-22 04:55:44.754612,2025-05-22 04:56:24.411637,0 days 00:00:39.657025,0.9,2.288074896339299e-06,COMPLETE
42,0.7526666666666667,2025-05-22 04:18:43.860081,2025-05-22 04:19:25.788190,0 days 00:00:41.928109,0.9,1.0128671439431305e-06,COMPLETE
65,0.7526666666666667,2025-05-22 04:34:31.300003,2025-05-22 04:35:08.049528,0 days 00:00:36.749525,0.8,0.016964078794229308,COMPLETE
31,0.7526666666666667,2025-05-22 04:11:01.183404,2025-05-22 04:11:42.576756,0 days 00:00:41.393352,0.9,0.003898826553658449,COMPLETE
41,0.7526666666666667,2025-05-22 04:18:00.208238,2025-05-22 04:18:43.822505,0 days 00:00:43.614267,0.85,0.0005830262768722878,COMPLETE
54,0.7523333333333332,2025-05-22 04:27:07.448551,2025-05-22 04:27:49.322201,0 days 00:00:41.873650,0.9,0.0008152807691908763,COMPLETE
55,0.7520000000000001,2025-05-22 04:27:49.365546,2025-05-22 04:28:30.995377,0 days 00:00:41.629831,0.85,0.00028962132008038987,COMPLETE
40,0.7520000000000001,2025-05-22 04:17:17.943753,2025-05-22 04:18:00.167448,0 days 00:00:42.223695,0.8,0.0023704778986779235,COMPLETE
75,0.7520000000000001,2025-05-22 04:41:30.976735,2025-05-22 04:42:14.977884,0 days 00:00:44.001149,0.85,0.0030015031072453523,COMPLETE
92,0.7520000000000001,2025-05-22 04:53:36.716839,2025-05-22 04:54:18.854395,0 days 00:00:42.137556,0.9,2.0665292974764797e-06,COMPLETE
78,0.7519999999999999,2025-05-22 04:43:38.988804,2025-05-22 04:44:18.549822,0 days 00:00:39.561018,0.8,1.3632783472986452e-05,COMPLETE
72,0.7516666666666666,2025-05-22 04:39:26.249080,2025-05-22 04:40:07.924271,0 days 00:00:41.675191,0.9,0.006820466218402899,COMPLETE
85,0.7516666666666666,2025-05-22 04:48:35.922699,2025-05-22 04:49:19.609946,0 days 00:00:43.687247,0.9,1.6508194670738961e-06,COMPLETE
69,0.7516666666666666,2025-05-22 04:37:17.618618,2025-05-22 04:38:01.648465,0 days 00:00:44.029847,0.85,0.030347707895402184,COMPLETE
26,0.7516666666666666,2025-05-22 04:07:33.047633,2025-05-22 04:08:16.679094,0 days 00:00:43.631461,0.8,0.002363079925632613,COMPLETE
46,0.751,2025-05-22 04:21:30.356735,2025-05-22 04:22:11.255583,0 days 00:00:40.898848,0.8,5.63295650968972e-06,COMPLETE
73,0.751,2025-05-22 04:40:07.964837,2025-05-22 04:40:49.409760,0 days 00:00:41.444923,0.8,0.03306480863226102,COMPLETE
83,0.751,2025-05-22 04:47:12.522471,2025-05-22 04:47:52.806177,0 days 00:00:40.283706,0.8,5.128981926788346e-06,COMPLETE
22,0.7506666666666666,2025-05-22 04:04:37.246378,2025-05-22 04:05:23.479560,0 days 00:00:46.233182,0.9,0.08533897637067882,COMPLETE
99,0.7506666666666666,2025-05-22 04:58:30.092968,2025-05-22 04:59:11.902528,0 days 00:00:41.809560,0.85,7.0695857458917075e-06,COMPLETE
58,0.75,2025-05-22 04:29:52.056339,2025-05-22 04:30:34.409623,0 days 00:00:42.353284,0.9,0.009659154318276842,COMPLETE
21,0.75,2025-05-22 04:03:53.490299,2025-05-22 04:04:37.207907,0 days 00:00:43.717608,0.9,0.0038523230327459504,COMPLETE
27,0.7496666666666667,2025-05-22 04:08:16.719345,2025-05-22 04:08:56.420505,0 days 00:00:39.701160,0.9,0.012366571017416577,COMPLETE
9,0.7496666666666667,2025-05-22 03:55:45.537682,2025-05-22 03:56:25.132165,0 days 00:00:39.594483,0.75,0.0003057826871127544,COMPLETE
15,0.7496666666666667,2025-05-22 03:59:52.775299,2025-05-22 04:00:32.088071,0 days 00:00:39.312772,0.75,8.596362698118388e-06,COMPLETE
17,0.7496666666666666,2025-05-22 04:01:11.846388,2025-05-22 04:01:55.236898,0 days 00:00:43.390510,0.8,1.7638438982213162e-05,COMPLETE
63,0.7493333333333333,2025-05-22 04:33:11.009945,2025-05-22 04:33:48.908740,0 days 00:00:37.898795,0.55,0.0003798814052732598,COMPLETE
3,0.749,2025-05-22 03:51:37.434732,2025-05-22 03:52:16.131246,0 days 00:00:38.696514,0.85,0.03066818641124718,COMPLETE
61,0.749,2025-05-22 04:31:54.279445,2025-05-22 04:32:33.898898,0 days 00:00:39.619453,0.65,0.002080287581530527,COMPLETE
35,0.749,2025-05-22 04:13:48.706905,2025-05-22 04:14:28.399814,0 days 00:00:39.692909,0.85,0.00018643402878094152,COMPLETE
18,0.749,2025-05-22 04:01:55.277269,2025-05-22 04:02:31.627494,0 days 00:00:36.350225,0.45000000000000007,6.159769877774556e-06,COMPLETE
23,0.7486666666666667,2025-05-22 04:05:23.525688,2025-05-22 04:06:06.809459,0 days 00:00:43.283771,0.8,0.00524683111807919,COMPLETE
52,0.7486666666666667,2025-05-22 04:25:40.233827,2025-05-22 04:26:24.029461,0 days 00:00:43.795634,0.8,0.00022541078765728014,COMPLETE
32,0.7483333333333334,2025-05-22 04:11:42.615445,2025-05-22 04:12:24.313814,0 days 00:00:41.698369,0.85,0.017012967657540515,COMPLETE
79,0.7483333333333334,2025-05-22 04:44:18.591180,2025-05-22 04:45:00.987323,0 days 00:00:42.396143,0.4,3.6292728816538543e-06,COMPLETE
38,0.7479999999999999,2025-05-22 04:15:51.236851,2025-05-22 04:16:34.405083,0 days 00:00:43.168232,0.7000000000000001,0.0012304770799030655,COMPLETE
10,0.7476666666666668,2025-05-22 03:56:25.170875,2025-05-22 03:57:06.290268,0 days 00:00:41.119393,0.5,1.7347155623521722e-06,COMPLETE
